category,crop_id,crop_name_fao56,root_depth_min_m,root_depth_max_m,p_table22_for_ETc_5mm_day,p_adjustment_formula,source,notes
Roots and tubers,potato,Potato,0.4,0.6,0.35,"p_adj = min(max(p_table22 + 0.04*(5 - ETc_mm_day), 0.1), 0.8)","FAO Irrigation and Drainage Paper 56, Table 22, Chapter 8",
Roots and tubers,sweet_potato,Sweet Potato,1.0,1.5,0.65,"p_adj = min(max(p_table22 + 0.04*(5 - ETc_mm_day), 0.1), 0.8)","FAO Irrigation and Drainage Paper 56, Table 22, Chapter 8",
Roots and tubers,turnip_rutabaga,Turnip (and Rutabaga),0.5,1.0,0.5,"p_adj = min(max(p_table22 + 0.04*(5 - ETc_mm_day), 0.1), 0.8)","FAO Irrigation and Drainage Paper 56, Table 22, Chapter 8",
Roots and tubers,sugar_beet,Sugar Beet,0.7,1.2,0.55,"p_adj = min(max(p_table22 + 0.04*(5 - ETc_mm_day), 0.1), 0.8)","FAO Irrigation and Drainage Paper 56, Table 22, Chapter 8","Sugar beets can show late afternoon wilting in arid climates even at p < 0.55, usually with minor impact on sugar yield."
Legumes,beans_green,"Beans, green",0.5,0.7,0.45,"p_adj = min(max(p_table22 + 0.04*(5 - ETc_mm_day), 0.1), 0.8)","FAO Irrigation and Drainage Paper 56, Table 22, Chapter 8",
Legumes,beans_dry_and_pulses,"Beans, dry and Pulses",0.6,0.9,0.45,"p_adj = min(max(p_table22 + 0.04*(5 - ETc_mm_day), 0.1), 0.8)","FAO Irrigation and Drainage Paper 56, Table 22, Chapter 8",
Legumes,beans_lima_large_vines,"Beans, lima, large vines",0.8,1.2,0.45,"p_adj = min(max(p_table22 + 0.04*(5 - ETc_mm_day), 0.1), 0.8)","FAO Irrigation and Drainage Paper 56, Table 22, Chapter 8",
Legumes,chick_pea,Chick pea,0.6,1.0,0.5,"p_adj = min(max(p_table22 + 0.04*(5 - ETc_mm_day), 0.1), 0.8)","FAO Irrigation and Drainage Paper 56, Table 22, Chapter 8",
Legumes,fababean_fresh,Fababean (broad bean) - Fresh,0.5,0.7,0.45,"p_adj = min(max(p_table22 + 0.04*(5 - ETc_mm_day), 0.1), 0.8)","FAO Irrigation and Drainage Paper 56, Table 22, Chapter 8",
Legumes,fababean_dry_seed,Fababean (broad bean) - Dry/Seed,0.5,0.7,0.45,"p_adj = min(max(p_table22 + 0.04*(5 - ETc_mm_day), 0.1), 0.8)","FAO Irrigation and Drainage Paper 56, Table 22, Chapter 8",
Legumes,garbanzo,Garbanzo,0.6,1.0,0.45,"p_adj = min(max(p_table22 + 0.04*(5 - ETc_mm_day), 0.1), 0.8)","FAO Irrigation and Drainage Paper 56, Table 22, Chapter 8",FAO-56 table text appears as 'Grabanzo'.
Legumes,green_gram_and_cowpeas,Green Gram and Cowpeas,0.6,1.0,0.45,"p_adj = min(max(p_table22 + 0.04*(5 - ETc_mm_day), 0.1), 0.8)","FAO Irrigation and Drainage Paper 56, Table 22, Chapter 8",
Legumes,groundnut_peanut,Groundnut (Peanut),0.5,1.0,0.5,"p_adj = min(max(p_table22 + 0.04*(5 - ETc_mm_day), 0.1), 0.8)","FAO Irrigation and Drainage Paper 56, Table 22, Chapter 8",
Legumes,lentil,Lentil,0.6,0.8,0.5,"p_adj = min(max(p_table22 + 0.04*(5 - ETc_mm_day), 0.1), 0.8)","FAO Irrigation and Drainage Paper 56, Table 22, Chapter 8",
Legumes,peas_fresh,Peas - Fresh,0.6,1.0,0.35,"p_adj = min(max(p_table22 + 0.04*(5 - ETc_mm_day), 0.1), 0.8)","FAO Irrigation and Drainage Paper 56, Table 22, Chapter 8",
Legumes,peas_dry_seed,Peas - Dry/Seed,0.6,1.0,0.4,"p_adj = min(max(p_table22 + 0.04*(5 - ETc_mm_day), 0.1), 0.8)","FAO Irrigation and Drainage Paper 56, Table 22, Chapter 8",
Legumes,soybeans,Soybeans,0.6,1.3,0.5,"p_adj = min(max(p_table22 + 0.04*(5 - ETc_mm_day), 0.1), 0.8)","FAO Irrigation and Drainage Paper 56, Table 22, Chapter 8",
Perennial vegetables,artichokes,Artichokes,0.6,0.9,0.45,"p_adj = min(max(p_table22 + 0.04*(5 - ETc_mm_day), 0.1), 0.8)","FAO Irrigation and Drainage Paper 56, Table 22, Chapter 8",With winter dormancy and initially bare or mulched soil.
Perennial vegetables,asparagus,Asparagus,1.2,1.8,0.45,"p_adj = min(max(p_table22 + 0.04*(5 - ETc_mm_day), 0.1), 0.8)","FAO Irrigation and Drainage Paper 56, Table 22, Chapter 8",With winter dormancy and initially bare or mulched soil.
Perennial vegetables,mint,Mint,0.4,0.8,0.4,"p_adj = min(max(p_table22 + 0.04*(5 - ETc_mm_day), 0.1), 0.8)","FAO Irrigation and Drainage Paper 56, Table 22, Chapter 8",With winter dormancy and initially bare or mulched soil.
Perennial vegetables,strawberries,Strawberries,0.2,0.3,0.2,"p_adj = min(max(p_table22 + 0.04*(5 - ETc_mm_day), 0.1), 0.8)","FAO Irrigation and Drainage Paper 56, Table 22, Chapter 8",With winter dormancy and initially bare or mulched soil.
Fibre crops,cotton,Cotton,1.0,1.7,0.65,"p_adj = min(max(p_table22 + 0.04*(5 - ETc_mm_day), 0.1), 0.8)","FAO Irrigation and Drainage Paper 56, Table 22, Chapter 8",
Fibre crops,flax,Flax,1.0,1.5,0.5,"p_adj = min(max(p_table22 + 0.04*(5 - ETc_mm_day), 0.1), 0.8)","FAO Irrigation and Drainage Paper 56, Table 22, Chapter 8",
Fibre crops,sisal,Sisal,0.5,1.0,0.8,"p_adj = min(max(p_table22 + 0.04*(5 - ETc_mm_day), 0.1), 0.8)","FAO Irrigation and Drainage Paper 56, Table 22, Chapter 8",
Oil crops,castorbean,Castorbean (Ricinus),1.0,2.0,0.5,"p_adj = min(max(p_table22 + 0.04*(5 - ETc_mm_day), 0.1), 0.8)","FAO Irrigation and Drainage Paper 56, Table 22, Chapter 8",
Oil crops,rapeseed_canola,"Rapeseed, Canola",1.0,1.5,0.6,"p_adj = min(max(p_table22 + 0.04*(5 - ETc_mm_day), 0.1), 0.8)","FAO Irrigation and Drainage Paper 56, Table 22, Chapter 8",
Oil crops,safflower,Safflower,1.0,2.0,0.6,"p_adj = min(max(p_table22 + 0.04*(5 - ETc_mm_day), 0.1), 0.8)","FAO Irrigation and Drainage Paper 56, Table 22, Chapter 8",
Oil crops,sesame,Sesame,1.0,1.5,0.6,"p_adj = min(max(p_table22 + 0.04*(5 - ETc_mm_day), 0.1), 0.8)","FAO Irrigation and Drainage Paper 56, Table 22, Chapter 8",
Oil crops,sunflower,Sunflower,0.8,1.5,0.45,"p_adj = min(max(p_table22 + 0.04*(5 - ETc_mm_day), 0.1), 0.8)","FAO Irrigation and Drainage Paper 56, Table 22, Chapter 8",
Cereals,barley,Barley,1.0,1.5,0.55,"p_adj = min(max(p_table22 + 0.04*(5 - ETc_mm_day), 0.1), 0.8)","FAO Irrigation and Drainage Paper 56, Table 22, Chapter 8",
Cereals,oats,Oats,1.0,1.5,0.55,"p_adj = min(max(p_table22 + 0.04*(5 - ETc_mm_day), 0.1), 0.8)","FAO Irrigation and Drainage Paper 56, Table 22, Chapter 8",
Cereals,spring_wheat,Spring Wheat,1.0,1.5,0.55,"p_adj = min(max(p_table22 + 0.04*(5 - ETc_mm_day), 0.1), 0.8)","FAO Irrigation and Drainage Paper 56, Table 22, Chapter 8",
Cereals,winter_wheat,Winter Wheat,1.5,1.8,0.55,"p_adj = min(max(p_table22 + 0.04*(5 - ETc_mm_day), 0.1), 0.8)","FAO Irrigation and Drainage Paper 56, Table 22, Chapter 8",
Cereals,maize_field_grain_field_corn,"Maize, Field (grain) (field corn)",1.0,1.7,0.55,"p_adj = min(max(p_table22 + 0.04*(5 - ETc_mm_day), 0.1), 0.8)","FAO Irrigation and Drainage Paper 56, Table 22, Chapter 8",
Cereals,maize_sweet_sweet_corn,"Maize, Sweet (sweet corn)",0.8,1.2,0.5,"p_adj = min(max(p_table22 + 0.04*(5 - ETc_mm_day), 0.1), 0.8)","FAO Irrigation and Drainage Paper 56, Table 22, Chapter 8",
Cereals,millet,Millet,1.0,2.0,0.55,"p_adj = min(max(p_table22 + 0.04*(5 - ETc_mm_day), 0.1), 0.8)","FAO Irrigation and Drainage Paper 56, Table 22, Chapter 8",
Cereals,sorghum_grain,Sorghum - grain,1.0,2.0,0.55,"p_adj = min(max(p_table22 + 0.04*(5 - ETc_mm_day), 0.1), 0.8)","FAO Irrigation and Drainage Paper 56, Table 22, Chapter 8",
Cereals,sorghum_sweet,Sorghum - sweet,1.0,2.0,0.5,"p_adj = min(max(p_table22 + 0.04*(5 - ETc_mm_day), 0.1), 0.8)","FAO Irrigation and Drainage Paper 56, Table 22, Chapter 8",
Cereals,rice,Rice,0.5,1.0,0.2,"p_adj = min(max(p_table22 + 0.04*(5 - ETc_mm_day), 0.1), 0.8)","FAO Irrigation and Drainage Paper 56, Table 22, Chapter 8",FAO-56 footnote: p for rice is 0.20 of saturation.
Forages,alfalfa_hay,Alfalfa - for hay,1.0,2.0,0.55,"p_adj = min(max(p_table22 + 0.04*(5 - ETc_mm_day), 0.1), 0.8)","FAO Irrigation and Drainage Paper 56, Table 22, Chapter 8",
